,UUID,Train,Direction,Speed,Num_Trip,Component,Side,Sensor,Cluster Centroids,PD,ED,PFA,Error_X
0,bf7b51d2-9c48-4cc8-a363-47decc8916da,5,Ritorno,A,2,X,N,0,"[4748, 5089, 5225, 5345, 5603, 5769, 7129, 8318, 9020, 9270, 9474, 9551, 10017, 10932, 11230, 11991, 12424, 12709, 12870, 12949, 13865, 14148, 14252, 14895, 15575, 15890, 15939, 16014, 16677, 16928, 17198, 17931, 18241, 18323, 18739, 19175, 19332, 19540, 20868, 20956, 21079, 21479, 22232, 22712, 22951, 23388, 23614, 24371, 24523, 25322, 25482, 27319, 27734, 28224, 28414, 28608, 28751, 28925, 29096, 29486, 30444, 30626, 30810, 32204, 32367, 32512, 33494, 33811, 35935, 36428, 36568, 36822, 37042, 37506, 37849, 38909, 39267, 40007, 40121, 40241, 40504, 40560, 40745, 41074, 41830, 42787, 43299, 43410, 43769, 44028, 44438, 44560, 44858, 45870, 46288, 46844, 46921, 47242, 47577, 48207, 48420, 48861, 49042, 49309, 49811, 52546, 52693, 52749, 52914, 55082, 55127, 55194, 55361, 55525, 55737, 58667, 59031, 59117, 59260, 59438, 59667, 59997, 60078, 60379, 61808, 62553, 62789, 62839, 62953, 63204, 63763, 64041, 64256, 64531, 65031, 65358, 65827, 66157, 67118, 67240, 67484, 67708, 67877, 68047, 68087, 68218, 68441, 69797, 70159, 70566, 70881, 71192, 71485, 71554, 72383, 73015, 74129, 75958, 76071, 76200, 76251, 76411, 77341, 77497, 79484, 79582, 79731, 80234, 80608, 81556, 81888, 82090, 82814, 83642, 83778, 84323, 84472, 84579, 84680, 84868, 85074, 86307, 86398, 86558, 86659, 86783, 86938, 87819, 89769, 90511, 90712, 91212, 91895, 92532, 92969, 93138, 93286, 95187, 96120, 96348, 96813, 96888, 97234, 97881, 98082, 98196, 98520, 100473, 100602, 100647, 100798, 101155, 101663, 101933, 102008, 103059, 103311, 103608, 104620, 106301, 106520, 106797, 106987, 107083, 107215, 107477, 108022, 108332, 108527, 108704, 108852, 109094, 110085, 110250, 110679, 111249, 112092, 113472, 114419, 114772, 115497, 115558, 115766, 115984, 116633, 116953, 117008, 117305, 117836, 118594, 119923, 121865, 122946, 123571, 123695, 124361, 124466, 124638, 124737, 125123, 125773, 126991, 128388, 129770, 131150, 131691, 131936, 132276, 133769, 134117, 135739, 136279, 136692, 136798, 136929, 137978, 138497, 138740, 139227, 139721, 140053, 140841, 141015, 141365, 141721, 142254, 142712, 143277, 144467, 146187, 146400, 146539, 146922, 147186, 147337, 147681, 147727, 148399, 148949, 149126, 150095, 150167]",0.875,0.75,0.956953642384106,0.5
1,bf7b51d2-9c48-4cc8-a363-47decc8916da,5,Ritorno,A,2,X,N,1,"[3566, 4042, 5029, 5411, 6414, 6784, 7138, 7834, 8236, 11197, 11671, 12236, 12658, 13152, 13653, 14051, 15064, 16381, 16611, 16743, 17627, 17690, 18060, 19040, 19235, 19383, 20332, 20717, 21727, 22121, 23137, 23557, 24583, 25410, 26549, 26996, 27565, 28968, 29397, 30625, 30775, 30878, 31722, 32100, 32458, 33019, 33374, 34712, 35519, 35630, 36075, 36409, 37023, 37426, 37832, 40066, 40273, 40501, 40681, 40816, 41197, 41825, 42650, 42855, 43092, 43257, 43457, 44276, 44676, 44862, 46020, 46994, 47157, 47248, 47363, 47494, 48291, 48417, 48643, 48833, 49567, 49723, 49748, 49953, 51282, 52225, 52505, 52880, 53623, 54030, 54501, 55035, 55468, 55790, 56157, 56514, 56924, 57977, 58264, 58380, 58679, 58776, 58816, 58881, 59287, 59408, 59680, 59822, 60041, 60219, 61199, 61637, 61783, 62162, 62535, 62927, 63850, 63940, 64428, 64740, 65122, 66419, 67045, 67342, 67743, 68151, 68392, 68704, 69083, 69789, 70088, 70495, 70911, 71502, 71932, 72424, 73332, 74416, 74821, 75634, 75832, 76256, 76393, 77395, 77634, 77724, 78049, 78091, 78966, 79398, 79896, 80208, 81426, 81529, 82449, 82699, 82817, 83757, 84039, 84136, 84233, 84474, 84587, 85445, 86421, 86545, 86810, 88289, 89628, 89732, 90565, 90733, 91173, 91919, 92182, 92554, 93334, 96269, 96546, 96646, 96862, 96924, 97036, 97541, 97921, 99178, 100104, 100486, 101407, 101790, 102773, 103173, 103266, 103319, 104153, 104573, 105596, 106010, 107026, 107280, 107437, 108441, 108856, 109346, 110230, 110290, 110454, 110665, 111236, 111628, 112965, 113379, 113881, 114257, 115132, 115164, 115504, 116410, 116763, 117161, 117705, 118066, 118516, 118997, 119388, 120341, 120737, 121729, 122109, 123559, 124570, 124970, 125975, 126376, 127002, 127382, 127769, 127999, 128123, 128168, 128244, 128347, 128758, 129138, 129602, 129741, 130073, 130485, 130692, 130900, 130942, 131420, 131793, 132057, 132352, 132470, 133062, 133557, 133661, 133982, 134316, 135152, 135500, 136114, 136162, 136742, 137630, 137998, 138392, 138875, 139260, 140201, 140588, 141546, 141927, 142926, 143282, 144575, 144723, 146101, 146533, 147100, 147452, 148476, 148867]",0.875,0.5,0.9614035087719298,0.5
2,bf7b51d2-9c48-4cc8-a363-47decc8916da,5,Ritorno,A,2,X,N,2,"[1630, 1901, 1989, 2049, 2222, 3032, 3487, 3941, 4835, 5844, 6281, 7227, 7792, 9253, 10700, 11707, 12081, 13462, 14761, 15667, 16067, 17391, 17708, 17952, 18752, 19226, 20180, 21113, 21601, 22083, 23119, 23388, 23467, 24445, 24563, 24684, 24753, 25520, 25663, 26956, 27377, 27466, 28368, 28609, 28692, 28850, 29045, 30096, 30289, 30461, 30831, 31407, 31766, 31961, 32270, 32447, 32717, 33261, 33543, 33624, 34099, 34659, 35491, 35868, 36074, 36420, 36530, 36786, 36943, 37022, 37122, 37926, 38280, 38398, 39425, 39871, 40019, 40180, 40424, 40660, 40861, 41042, 41190, 41318, 41390, 41455, 42290, 42510, 42685, 43086, 43425, 44040, 44387, 44773, 45362, 46663, 46940, 47330, 47949, 48247, 48354, 48646, 48887, 49094, 49294, 49505, 50659, 52075, 52596, 52903, 53290, 53444, 53511, 54076, 54363, 54807, 54986, 55712, 55904, 56418, 57666, 57837, 58698, 59108, 59251, 59423, 59655, 59984, 60145, 60542, 61613, 61852, 62310, 62642, 62709, 62916, 63120, 63943, 64235, 64433, 64627, 64677, 65559, 65759, 65904, 66950, 67103, 67324, 67621, 67938, 68017, 68077, 68379, 68524, 69786, 69856, 69980, 70217, 70924, 71299, 71434, 72471, 72752, 72853, 73103, 73586, 74273, 75199, 75643, 76531, 76971, 77240, 78280, 79195, 79495, 79936, 80026, 80832, 81244, 81796, 82147, 83481, 83623, 83709, 83976, 84069, 84507, 84612, 84945, 86344, 86541, 86700, 86826, 87784, 87910, 89207, 89375, 90593, 90746, 91422, 91487, 91592, 91879, 91991, 92026, 92947, 93119, 93293, 95924, 96048, 96562, 96808, 97164, 97628, 97844, 98478, 99803, 100608, 100998, 101193, 101519, 101860, 102203, 102600, 103418, 103523, 104033, 105472, 106334, 106876, 108270, 109271, 109635, 110004, 110163, 110579, 110972, 111126, 111880, 112255, 113504, 113927, 114420, 114798, 115695, 116028, 116218, 116508, 116592, 117043, 117402, 117605, 118407, 118765, 119837, 119890, 120153, 121574, 121823, 122541, 123012, 123952, 124380, 125761, 126664, 126711, 126950, 127132, 127915, 128275, 128490, 129592, 129779, 129817, 130518, 131059, 131806, 131881, 132085, 132282, 133296, 133468, 133669, 134732, 135927, 137166, 137277, 138211, 138561, 139544, 139867, 139965, 140877, 141300, 142090, 142746, 143222, 144137, 144416, 145245, 145378, 145502, 146495]",0.75,0.875,0.9570957095709571,0.5
3,bf7b51d2-9c48-4cc8-a363-47decc8916da,5,Ritorno,A,2,X,N,3,"[1515, 1688, 1853, 2010, 2090, 2159, 2293, 2898, 4325, 4491, 4828, 5986, 6304, 6614, 7293, 7485, 7799, 8608, 8719, 9246, 10191, 10942, 11028, 11307, 11416, 11540, 11701, 12030, 13063, 13160, 13336, 13604, 13662, 14194, 14316, 14359, 14615, 15507, 15960, 16229, 16830, 16880, 17007, 17327, 17667, 18414, 18690, 19030, 19216, 20170, 21103, 21314, 21654, 22411, 22565, 23098, 24595, 24751, 25426, 25604, 25988, 27710, 28240, 28267, 28670, 28965, 29235, 30227, 30418, 31891, 32153, 33533, 33607, 34035, 34398, 34666, 35397, 35448, 35595, 36535, 36860, 37988, 38391, 40262, 40780, 40858, 40946, 41213, 41310, 41618, 42471, 42644, 43022, 43372, 43596, 43646, 44405, 44656, 45967, 46052, 46245, 46511, 46596, 46724, 46838, 47238, 47822, 48200, 48530, 48795, 48889, 49005, 49524, 50444, 50619, 51131, 51478, 52063, 52120, 52653, 52956, 53352, 53510, 54470, 55238, 55339, 55519, 55632, 55735, 55856, 55974, 56258, 56370, 58287, 58676, 59049, 59183, 59471, 59898, 60048, 60129, 60215, 61145, 61174, 61492, 61941, 62445, 62491, 62590, 62699, 62814, 63643, 63810, 64143, 65370, 65518, 65661, 66573, 66762, 67051, 68344, 68401, 68897, 69447, 69660, 69918, 70247, 70952, 71077, 71321, 71648, 72320, 72481, 74132, 75702, 76176, 76351, 76563, 77056, 77165, 77631, 77921, 78005, 78183, 79077, 79325, 79794, 79847, 80194, 80549, 80684, 81532, 81745, 82013, 82053, 82538, 82944, 83418, 83587, 83961, 84351, 84550, 85002, 85904, 86386, 86584, 86793, 87923, 88641, 89128, 89254, 89363, 90063, 90733, 90920, 91201, 91452, 91784, 92101, 92211, 93167, 95743, 95986, 96076, 96513, 96678, 97757, 98337, 99242, 99750, 101145, 101315, 101542, 102058, 102257, 102540, 103706, 104099, 104274, 104384, 104662, 104901, 105124, 105423, 105796, 106209, 106312, 106436, 106528, 106812, 107183, 107711, 107851, 108009, 108198, 109226, 109474, 109688, 109786, 109886, 110072, 110336, 110445, 111038, 112060, 112879, 113015, 113325, 114156, 114338, 114632, 114870, 114940, 115225, 115467, 115587, 115936, 116215, 116811, 116877, 116992, 117309, 117547, 117619, 118421, 118662, 119474, 119618, 119813, 120077, 120202, 121524, 121762, 121865, 122585, 122939, 123033, 123826, 124318, 124605, 124720, 124964, 125222, 125682, 126274, 126859, 127847, 127955, 128152, 129153, 129345, 129477, 130584, 130682, 130716, 130746, 130832, 131149, 131614, 131906, 132038, 132952, 133072, 133169, 133487, 133545, 133598, 134435, 134874, 135374, 135540, 135722, 136733, 137142, 137938, 138008, 138060, 138170, 138521, 139414, 139497, 139538, 139849, 139958, 140692, 140871, 142161, 142663, 143198, 144487, 144943, 145031, 145112, 145244]",0.875,1.0,0.9576271186440678,0.5
4,bf7b51d2-9c48-4cc8-a363-47decc8916da,5,Ritorno,A,2,X,S,0,"[4824, 5247, 6237, 6422, 7100, 8301, 8409, 8463, 8588, 8688, 9017, 9273, 9409, 9900, 10011, 11207, 11506, 11763, 12017, 12703, 12914, 13305, 13479, 14361, 14434, 14889, 15657, 15828, 15932, 16060, 16163, 16324, 16653, 17527, 17634, 17959, 18741, 18938, 19815, 20305, 20527, 20719, 20943, 21166, 21897, 22106, 22265, 22636, 22888, 23384, 23620, 23650, 25507, 25970, 26076, 26812, 26960, 27285, 28692, 28901, 29025, 29293, 29409, 29684, 29924, 30210, 31256, 31647, 31792, 32534, 32942, 33868, 35189, 35667, 36619, 36887, 37529, 38008, 39592, 39715, 39877, 40584, 41061, 41514, 43077, 43562, 43740, 44021, 44296, 46853, 46942, 46982, 47087, 47176, 47527, 47763, 47942, 48001, 48281, 48769, 48890, 49098, 49565, 50131, 50863, 50917, 51196, 51249, 51580, 51676, 51958, 52278, 52323, 52427, 52873, 53447, 53785, 53894, 54894, 55221, 55768, 56308, 56859, 57265, 57762, 59866, 60232, 60310, 60401, 60609, 61547, 62452, 62809, 62916, 63157, 63437, 64224, 64753, 65122, 65547, 65709, 67254, 67654, 68153, 68368, 68408, 68526, 68661, 69047, 69180, 69437, 69834, 71411, 71677, 71776, 72213, 72343, 72596, 74487, 74564, 75062, 75645, 76499, 76663, 76926, 77111, 77389, 78624, 79455, 79984, 80932, 80974, 81298, 81851, 82255, 82576, 82673, 83130, 83470, 85064, 85197, 85353, 85539, 86287, 86475, 86758, 86919, 87510, 87843, 89264, 89399, 89781, 90453, 90712, 90925, 91194, 92444, 93198, 93361, 93408, 93589, 93735, 95010, 96393, 96737, 98737, 99048, 99098, 99240, 99570, 100130, 100278, 100662, 100768, 100834, 100919, 101648, 102576, 103083, 104309, 104395, 104888, 105150, 105322, 105718, 106347, 107461, 107795, 107880, 108566, 109082, 109593, 109706, 110071, 110226, 110888, 110990, 112073, 113062, 113405, 114975, 115409, 115697, 115952, 116717, 116950, 117320, 117529, 117645, 117819, 118263, 118947, 119201, 119493, 119667, 120771, 121248, 123121, 124772, 124886, 125140, 126926, 127066, 127406, 127653, 127771, 128074, 129323, 129634, 129728, 129781, 129836, 129884, 130175, 130537, 130752, 131040, 131528, 131656, 132181, 132289, 132428, 132586, 133191, 133231, 133522, 133761, 133804, 134078, 134144, 134254, 134539, 134682, 135308, 135488, 136698, 136930, 138433, 138695, 138837, 139184, 139590, 141708, 141982, 142269, 142690, 144326, 144487, 144585, 145077, 145258, 145346, 145433, 146908, 147157, 147698, 147751, 147817, 147958, 148699, 148831, 149144]",1.0,0.5,0.9627329192546584,0.5
5,bf7b51d2-9c48-4cc8-a363-47decc8916da,5,Ritorno,A,2,X,S,1,"[3464, 4069, 5416, 6804, 8228, 9715, 11186, 12643, 14066, 15448, 16765, 18058, 19352, 20632, 20736, 21127, 21679, 22115, 22921, 23177, 23557, 23696, 25034, 25577, 26121, 26526, 28035, 28365, 29309, 29410, 30383, 30776, 32090, 32476, 33389, 33782, 34698, 36081, 36463, 36581, 37045, 37444, 38051, 38880, 40322, 40632, 40762, 40924, 41379, 41598, 41797, 42821, 43242, 44662, 46019, 47369, 48651, 49949, 51244, 52631, 53626, 53993, 55261, 55466, 56285, 56474, 56930, 57365, 57770, 57967, 58376, 59801, 61181, 62404, 62519, 63839, 65127, 66415, 67736, 69061, 70471, 71856, 72283, 72387, 73373, 74826, 76293, 77198, 77607, 78571, 78958, 80268, 81173, 81535, 82815, 84130, 85451, 86461, 86851, 87881, 88273, 89472, 89730, 90759, 91172, 92188, 92588, 93972, 94959, 95350, 96334, 96644, 97544, 97920, 99190, 100501, 100938, 101019, 101755, 103162, 104151, 104562, 105984, 106420, 107427, 108433, 108853, 110244, 111622, 112577, 112958, 114241, 115519, 116396, 116777, 117995, 118072, 119377, 121732, 122122, 123130, 123541, 124551, 124948, 126366, 127784, 129131, 130071, 130478, 131790, 133065, 134300, 135520, 136742, 137987, 139404, 140597, 141932, 142944, 143207, 143332, 144603, 144705, 146106, 147485, 148877]",1.0,0.625,0.9216867469879518,0.5
6,bf7b51d2-9c48-4cc8-a363-47decc8916da,5,Ritorno,A,2,X,S,2,"[1626, 2021, 2110, 2351, 3038, 3263, 3471, 4424, 4866, 5847, 6311, 7319, 8798, 9218, 10260, 10715, 11672, 12123, 13049, 13482, 14367, 14787, 15669, 16084, 16988, 17415, 18337, 18773, 19727, 20182, 21157, 21613, 21716, 22639, 23061, 23283, 23524, 23564, 24122, 24570, 25580, 25687, 26049, 27009, 27087, 27445, 28705, 28835, 29356, 29419, 29575, 29701, 29810, 30085, 30998, 31412, 32284, 32711, 33662, 34106, 35057, 35448, 36465, 36923, 37930, 38059, 38146, 38419, 39409, 39876, 40842, 41209, 41300, 42264, 42697, 43637, 44030, 44984, 45385, 46255, 46669, 47544, 47972, 48866, 49294, 50228, 50665, 51612, 52071, 53059, 53520, 54517, 54980, 55349, 55970, 56427, 57410, 57843, 58792, 59221, 60156, 60566, 61453, 61853, 62719, 63121, 63961, 64430, 65331, 65761, 66687, 67124, 68082, 68533, 69511, 69970, 70976, 71435, 72417, 72871, 73833, 74270, 75218, 75644, 76573, 76938, 77288, 77861, 78263, 79135, 79537, 80412, 80829, 81727, 82122, 83064, 83508, 84451, 84894, 85870, 86329, 87328, 87788, 88766, 89219, 90182, 90580, 91572, 91996, 92928, 93351, 93504, 94243, 94657, 95526, 95922, 96106, 96786, 97199, 98082, 98499, 99398, 99849, 100761, 101195, 102153, 102547, 103586, 104004, 105024, 105434, 106437, 106900, 107843, 108188, 108279, 109211, 109587, 110550, 110970, 111838, 112247, 113119, 113509, 114376, 114780, 115662, 116073, 116977, 117404, 118328, 118763, 119711, 120157, 121133, 121587, 122559, 123006, 123143, 123961, 124411, 125361, 125794, 126724, 127167, 128067, 128500, 129393, 129793, 130668, 131062, 131901, 132200, 132281, 133111, 133498, 134321, 134730, 135586, 135988, 136864, 137279, 138183, 138611, 139394, 139527, 139972, 140917, 141361, 142303, 142708, 143688, 144131, 145073, 145515, 146463]",0.875,0.375,0.9576271186440678,0.5
7,bf7b51d2-9c48-4cc8-a363-47decc8916da,5,Ritorno,A,2,X,S,3,"[1799, 1914, 1975, 2300, 3267, 4356, 4496, 4975, 5165, 5257, 6572, 6614, 6745, 6871, 7044, 7104, 7257, 7854, 8233, 9208, 9342, 9774, 9891, 10535, 10762, 10980, 11043, 11716, 11972, 12107, 12414, 13720, 14246, 14335, 14541, 14627, 14726, 15900, 16063, 16191, 16841, 17016, 17434, 17489, 17637, 17707, 18409, 18530, 18652, 18825, 19128, 19685, 19835, 19919, 19973, 20253, 20495, 20708, 20854, 20956, 21194, 21523, 21769, 21982, 22253, 23100, 23210, 23358, 23588, 23913, 24698, 25513, 25662, 25971, 26107, 26239, 26897, 27048, 28401, 28512, 28603, 28677, 28770, 28866, 29258, 29361, 29481, 29599, 29699, 30025, 30561, 30950, 31028, 31360, 31907, 32025, 32133, 32292, 32668, 33636, 33870, 34667, 34884, 35078, 35186, 35342, 35478, 35606, 36185, 36566, 36954, 36993, 37095, 37185, 37387, 37646, 37951, 38178, 38335, 38516, 39802, 40041, 40261, 40393, 40735, 41128, 41534, 41654, 42196, 42361, 43537, 43985, 44139, 44201, 44321, 45348, 46034, 46518, 46599, 46682, 46758, 46907, 47376, 47584, 48228, 48726, 48895, 49361, 49515, 50304, 50547, 50658, 50728, 50906, 51465, 51585, 51896, 52155, 52252, 52299, 52482, 52549, 52676, 52859, 53385, 53536, 53630, 53858, 54027, 54095, 54490, 54574, 54674, 54880, 55033, 55404, 56507, 56808, 56960, 57140, 57358, 57779, 57930, 58429, 59015, 59109, 59179, 59544, 59851, 60116, 60479, 61449, 62041, 62097, 62548, 63838, 65210, 66117, 66677, 66745, 67108, 68488, 68668, 70089, 71098, 71496, 71681, 72098, 72268, 72430, 72648, 73917, 74112, 74283, 74831, 75051, 75653, 76056, 76245, 76492, 76636, 77150, 78073, 78146, 78256, 78610, 79197, 79518, 79678, 79758, 80904, 81485, 81580, 82156, 82451, 83020, 83333, 83509, 84046, 84973, 85153, 85223, 86381, 86469, 86579, 86829, 86996, 87724, 88032, 88162, 88424, 89216, 89502, 89850, 90494, 90760, 90825, 91210, 91336, 91440, 91747, 91888, 92021, 92182, 93139, 93309, 93413, 93526, 94096, 94424, 94679, 95911, 96313, 97762, 98478, 98752, 98889, 99044, 99192, 99281, 99363, 99837, 100057, 100481, 100735, 100826, 100996, 101541, 101624, 101781, 101885, 102074, 102347, 102678, 102914, 103083, 103989, 104097, 104375, 104429, 105149, 105212, 105504, 105659, 105734, 105806, 106389, 106922, 107467, 107647, 107928, 108028, 108147, 108266, 108354, 108399, 108494, 108814, 109230, 109468, 109656, 109760, 109857, 110011, 110435, 111726, 112032, 112176, 112312, 113045, 113860, 114597, 114991, 115284, 115426, 115563, 115670, 115842, 116615, 116833, 116982, 117156, 117370, 117698, 118013, 118614, 118989, 119052, 119096, 119345, 119564, 119853, 120072, 120201, 121258, 121629, 121943, 122281, 122324, 122471, 122812, 122895, 122990, 123191, 124473, 124844, 124973, 125699, 126407, 126457, 126823, 127679, 127809, 128131, 128455, 128937, 129337, 129850, 130388, 130502, 130575, 130945, 131080, 131414, 132270, 132306, 132406, 132861, 132957, 133104, 133195, 133262, 133530, 133623, 133832, 133905, 134460, 134601, 134821, 135177, 135444, 135491, 135826, 136188, 136485, 136693, 136762, 136841, 137226, 137388, 137519, 137833, 137995, 138041, 138614, 139281, 139979, 140807, 141101, 141266, 141365, 141610, 141673, 141792, 141895, 142190, 142304, 142453, 142745, 143075, 143153, 144247, 144450, 145021, 145182, 145330, 145395]",1.0,1.0,0.9633867276887872,0.5
8,5d8f0871-80a6-4f1f-b1b8-2851d8597545,5,Ritorno,A,1,X,N,0,"[4726, 5181, 7660, 8070, 8255, 8405, 8654, 8752, 8802, 10039, 10183, 11239, 12100, 12234, 12349, 12454, 12579, 12733, 12793, 12846, 13738, 14408, 14500, 14623, 14800, 15137, 16288, 16361, 16438, 16489, 16653, 16728, 17196, 17436, 18021, 18341, 18868, 19897, 20014, 20179, 20631, 21164, 21281, 21712, 22173, 22226, 22878, 23208, 23871, 24089, 24173, 24285, 24907, 25087, 27360, 28042, 28102, 28269, 28333, 28475, 29600, 29740, 30822, 31104, 33027, 33676, 33951, 34115, 34430, 34515, 35269, 37301, 37679, 38153, 41011, 41089, 43234, 43383, 44207, 44479, 44628, 45891, 46760, 46830, 48019, 48426, 49700, 50358, 50487, 50715, 50894, 50961, 51104, 51424, 53467, 53509, 53819, 53955, 54229, 54307, 54433, 54604, 54846, 55173, 55515, 56836, 56930, 57362, 57504, 57636, 58037, 58104, 58320, 58437, 59152, 59424, 59721, 60131, 60622, 62474, 62585, 62861, 62930, 63056, 63151, 63467, 63613, 63836, 65182, 65568, 66187, 66514, 67478, 67600, 67832, 69195, 70543, 70893, 71103, 71191, 71308, 72154, 74323, 74515, 74621, 75496, 75883, 76520, 77105, 77522, 77655, 77911, 78929, 79114, 79313, 79431, 79669, 79910, 80306, 81636, 81825, 81941, 82066, 83107, 85787, 85977, 86073, 86597, 87019, 87616, 88384, 91384, 91528, 91720, 91975, 92188, 93305, 93636, 94420, 95332, 95642, 96105, 96343, 96493, 96957, 97316, 98286, 98636, 98879, 99521, 100913, 101287, 101667, 101753, 102126, 103295, 103586, 103734, 104029, 105025, 105335, 105555, 106142, 106977, 108362, 108491, 108949, 110350, 110596, 111138, 111840, 112052, 112520, 112683, 113110, 113958, 115332, 117319, 118478, 118642, 119768, 120349, 120527, 122327, 123455, 123620, 123698, 125078, 126964, 127517, 127742, 129235, 129574, 132181, 132595, 132773, 133394, 133769, 134464, 134792, 134992, 135078, 135639, 135843, 136136, 136519, 136970, 137144, 138893, 139242, 139276, 139448, 140399, 140683, 141446, 141960, 143260, 143375, 143564, 143614, 143765, 143816, 144468, 144703, 145159, 146158, 146346, 147400, 147565, 148586, 148726, 148908, 148980]",0.8888888888888888,0.6666666666666666,0.9487179487179487,0.5
9,5d8f0871-80a6-4f1f-b1b8-2851d8597545,5,Ritorno,A,1,X,N,1,"[3458, 4048, 4530, 4863, 5080, 5277, 5471, 6928, 7894, 8171, 8237, 8309, 9301, 9694, 10191, 11087, 12064, 12445, 13763, 14047, 14200, 14693, 15082, 15954, 16323, 16743, 17185, 17532, 18693, 19096, 19492, 19669, 19791, 20561, 20876, 21634, 21928, 22662, 22955, 23670, 23707, 23986, 24787, 26111, 27175, 27787, 27902, 27977, 28057, 28116, 28231, 29305, 30073, 30379, 30546, 30778, 30851, 31186, 31484, 32289, 32504, 32586, 33386, 33728, 34518, 34833, 35002, 35599, 37366, 37899, 38276, 40600, 41740, 42622, 42950, 43091, 44167, 44500, 45414, 46297, 46660, 47026, 47943, 48871, 49258, 50442, 50609, 51057, 51884, 51977, 52986, 53289, 53387, 54388, 54791, 55179, 55772, 56173, 56600, 56876, 56942, 57132, 57522, 57644, 58299, 58523, 58923, 59126, 59174, 59377, 59882, 60031, 60236, 61226, 61252, 61639, 62446, 62588, 62911, 63810, 63915, 64312, 64752, 65112, 65244, 65496, 65618, 66076, 66550, 66942, 67501, 67807, 68260, 69198, 69592, 70519, 70943, 71241, 71883, 72261, 72768, 73141, 73273, 73680, 74664, 74951, 75057, 75499, 76450, 76530, 76874, 77427, 77661, 77836, 78818, 78922, 79134, 79858, 80287, 80592, 81074, 81571, 81682, 81834, 82016, 83095, 83374, 84343, 84729, 85693, 86129, 86362, 86568, 86867, 87085, 87299, 87379, 87496, 87967, 88383, 88871, 91183, 91481, 91597, 92560, 92843, 92958, 93122, 93254, 93903, 94298, 94771, 95259, 95653, 96792, 96912, 97888, 98281, 98732, 99208, 99591, 100923, 101872, 102254, 103215, 103602, 103682, 103751, 103993, 104575, 104831, 104976, 105142, 105416, 105551, 106144, 106239, 106359, 107336, 107745, 108881, 108937, 109127, 110109, 110505, 111116, 111487, 111893, 112527, 113076, 113138, 113279, 114252, 114508, 114545, 114647, 115630, 116045, 117023, 117260, 117388, 118399, 118790, 119765, 120166, 121136, 121536, 121971, 122305, 122896, 123303, 123399, 123431, 123655, 123876, 123900, 124307, 125077, 125261, 125660, 126077, 126631, 127042, 127765, 128009, 128401, 128876, 129217, 129383, 129597, 129773, 131149, 132106, 132503, 132963, 133468, 133722, 133880, 134374, 134440, 134489, 134832, 135238, 135653, 135713, 136163, 136587, 136944, 137096, 137844, 137951, 138106, 138354, 138888, 139365, 140675, 141152, 141647, 142986, 143404, 144373, 144658, 144769, 146585, 147102, 147366, 147497, 148455, 148927]",0.8888888888888888,0.6666666666666666,0.9546925566343042,0.5
