ID,Dataset,Direction,Train,Avg_Speed,Component,Num_Trip,Engine_Status,Accel_Path,Vel_Path,Scores_Path,UnifiedScore_Path,is_ABU-B_enabled,is_ABU-A_enabled,N_acc,N_vel,N_discrepance,Reference_Bearing,Bearing_Columns,Weldings,Wheel_Fault,N_Shifts,S_Shifts
1f538303-f5c8-4cfa-9494-dc87cddfa90b,Estratto_Rettilineo_AR,Ritorno,005,C,X,1,,datasets/Estratto_Rettilineo_AR/Ritorno/005/C/Rettilineo_X_C1_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/Profili delle velocità/Vel_005_C1.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/C/Scores_X_C1_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/C/UnifiedScore_X_C1_005.txt,False,False,48802,48802,0,12,"[5, 6, 7, 8, 9, 10, 11, 12]","[1633, 7400, 13000, 18724, 24412, 30094, 35782, 41531, 47209]",False,"[-1586,-1168,-419,0]","[-1586,-1167,-419,0]"
dad1a546-2b39-4070-b0d0-84f008dc8b4e,Estratto_Rettilineo_AR,Ritorno,005,C,Y,2,,datasets/Estratto_Rettilineo_AR/Ritorno/005/C/Rettilineo_Y_C2_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/Profili delle velocità/Vel_005_C2.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/C/Scores_Y_C2_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/C/UnifiedScore_Y_C2_005.txt,False,False,48683,48683,0,12,"[5, 6, 7, 8, 9, 10, 11, 12]","[71, 5836, 11449, 17172, 22830, 28568, 34288, 40025, 45710]",False,"[-1588,-1168,-419,0]","[-1589,-1169,-420,0]"
e451ad45-2db5-4d9a-be86-1309be03d6ca,Estratto_Rettilineo_AR,Ritorno,005,B,Z,1,,datasets/Estratto_Rettilineo_AR/Ritorno/005/B/Rettilineo_Z_B1_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/Profili delle velocità/Vel_005_B1.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/B/Scores_Z_B1_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/B/UnifiedScore_Z_B1_005.txt,False,False,72963,72963,0,12,"[5, 6, 7, 8, 9, 10, 11, 12]","[557, 9127, 17607, 26119, 34619, 43140, 51666, 60195, 68703]",False,"[-2371,-1745,-626,0]","[-2372,-1745,-627,0]"
3ab3fdc9-e5e4-4cf1-80df-e405a0a1eedf,Estratto_Rettilineo_AR,Ritorno,005,B,X,2,,datasets/Estratto_Rettilineo_AR/Ritorno/005/B/Rettilineo_X_B2_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/Profili delle velocità/Vel_005_B2.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/B/Scores_X_B2_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/B/UnifiedScore_X_B2_005.txt,False,False,73083,73083,0,12,"[5, 6, 7, 8, 9, 10, 11, 12]","[552, 9121, 17558, 26104, 34593, 43146, 51599, 60198, 68682]",False,"[-2371,-1745,-626,0]","[-2371,-1744,-626,0]"
0da44f70-bd09-41b0-97ad-dba2a2bb9080,Estratto_Rettilineo_AR,Ritorno,005,B,Y,2,,datasets/Estratto_Rettilineo_AR/Ritorno/005/B/Rettilineo_Y_B2_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/Profili delle velocità/Vel_005_B2.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/B/Scores_Y_B2_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/B/UnifiedScore_Y_B2_005.txt,False,False,73083,73083,0,12,"[5, 6, 7, 8, 9, 10, 11, 12]","[552, 9121, 17558, 26104, 34593, 43146, 51599, 60198, 68682]",False,"[-2370,-1744,-626,0]","[-2370,-1745,-627,0]"
d0ea71d8-a696-4982-8959-c2636e3a5685,Estratto_Rettilineo_AR,Ritorno,005,B,Y,1,,datasets/Estratto_Rettilineo_AR/Ritorno/005/B/Rettilineo_Y_B1_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/Profili delle velocità/Vel_005_B1.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/B/Scores_Y_B1_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/B/UnifiedScore_Y_B1_005.txt,False,False,72963,72963,0,12,"[5, 6, 7, 8, 9, 10, 11, 12]","[557, 9127, 17607, 26119, 34619, 43140, 51666, 60195, 68703]",False,"[-2369,-1743,-626,0]","[-2371,-1744,-627,0]"
4cd227d5-df24-4aea-a05d-19e8e5cf41dc,Estratto_Rettilineo_AR,Ritorno,005,B,Z,2,,datasets/Estratto_Rettilineo_AR/Ritorno/005/B/Rettilineo_Z_B2_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/Profili delle velocità/Vel_005_B2.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/B/Scores_Z_B2_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/B/UnifiedScore_Z_B2_005.txt,False,False,73083,73083,0,12,"[5, 6, 7, 8, 9, 10, 11, 12]","[552, 9121, 17558, 26104, 34593, 43146, 51599, 60198, 68682]",False,"[-2371,-1745,-626,0]","[-2372,-1745,-627,0]"
e1ab5810-05ba-4d1d-91ec-9e4eb6401a3e,Estratto_Rettilineo_AR,Ritorno,005,B,X,1,,datasets/Estratto_Rettilineo_AR/Ritorno/005/B/Rettilineo_X_B1_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/Profili delle velocità/Vel_005_B1.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/B/Scores_X_B1_005.txt,datasets/Estratto_Rettilineo_AR/Ritorno/005/B/UnifiedScore_X_B1_005.txt,False,False,72963,72963,0,12,"[5, 6, 7, 8, 9, 10, 11, 12]","[557, 9127, 17607, 26119, 34619, 43140, 51666, 60195, 68703]",False,"[-2371,-1745,-626,0]","[-2371,-1745,-626,0]"
a9371602-236d-4cfc-b2c5-586edf486a8d,Estratto_Rettilineo_AR,Ritorno,007,A,Z,1,F,datasets/Estratto_Rettilineo_AR/Ritorno/007/A/Rettilineo_Z_FA1_007.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/Profili delle velocità/Vel_007_FA1.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/A/Scores_Z_FA1_007.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/A/UnifiedScore_Z_FA1_007.txt,False,False,143383,143383,0,5,"[5, 6, 7, 8, 9, 10, 11, 12]","[1331, 17978, 34821, 51829, 68831, 85711, 102537, 119329, 135681]",False,"[-1286,5460,1255,0]","[4459,3343,-123,0]"
aa707acd-59e8-4954-896d-7f72bab19b84,Estratto_Rettilineo_AR,Ritorno,007,A,Y,1,,datasets/Estratto_Rettilineo_AR/Ritorno/007/A/Rettilineo_Y_A1_007.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/Profili delle velocità/Vel_007_A1.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/A/Scores_Y_A1_007.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/A/UnifiedScore_Y_A1_007.txt,False,False,140657,140657,0,5,"[5, 6, 7, 8, 9, 10, 11, 12]","[1135, 17966, 34771, 51633, 68456, 85319, 102219, 119131, 135858]",False,"[4689,3456,1239,0]","[4688,3458,1242,0]"
