,UUID,Train,Direction,Speed,Num_Trip,Component,Side,Sensor,Cluster Centroids,PD,ED,PFA
10,5d8f0871-80a6-4f1f-b1b8-2851d8597545,5,Ritorno,A,1,X,N,2,"[1567, 1997, 4853, 5826, 7632, 9017, 10384, 11686, 12988, 14209, 15412, 17677, 19787, 24263, 28789, 30298, 33718, 33804, 36605, 37516, 42050, 48530, 50364, 51061, 51297, 54382, 56804, 58175, 60855, 64812, 65983, 68830, 70205, 75717, 79877, 85391, 85637, 86772, 88319, 93529, 96161, 97488, 98801, 101491, 102862, 105072, 105499, 108413, 111167, 112468, 112567, 113915, 115292, 118033, 122172, 124938, 127532, 127674, 129055, 129149, 129506, 131764, 133110, 135840, 138564, 141192, 141295, 144028, 145383, 146746]",0.5555555555555556,0.4444444444444444,0.8714285714285714
11,5d8f0871-80a6-4f1f-b1b8-2851d8597545,5,Ritorno,A,1,X,N,3,"[4208, 4446, 4552, 9996, 13644, 13764, 16072, 17984, 18030, 18194, 23915, 27202, 27333, 28510, 29760, 30038, 30095, 34330, 36336, 47720, 47789, 47839, 50638, 51014, 55091, 56807, 62659, 62810, 63137, 67205, 67328, 72599, 76759, 79214, 79784, 81971, 85596, 87286, 88276, 91538, 91986, 93079, 96619, 96665, 98299, 98390, 103918, 105066, 105463, 111037, 112446, 112999, 117200, 119408, 119978, 123585, 124926, 127374, 127512, 127702, 129064, 129475, 131860, 132289, 134051, 134097, 139281]",0.4444444444444444,0.2222222222222222,0.9104477611940298
12,5d8f0871-80a6-4f1f-b1b8-2851d8597545,5,Ritorno,A,1,X,S,0,"[4714, 5022, 5329, 11447, 11567, 18460, 22334, 22629, 28786, 31132, 35652, 43489, 43585, 49238, 50601, 55464, 67576, 76239, 81805, 90053, 91463, 95996, 101462, 106945, 108366, 111165, 118606, 120247, 123423, 127231, 128889, 135642, 137862, 143883]",0.6666666666666666,0.0,0.8235294117647058
13,5d8f0871-80a6-4f1f-b1b8-2851d8597545,5,Ritorno,A,1,X,S,1,"[3294, 3582, 4092, 4545, 5470, 6919, 8323, 15078, 16333, 17546, 18703, 20882, 21925, 22973, 24013, 28238, 32600, 34499, 34847, 37133, 38259, 41767, 42967, 45411, 47940, 49249, 50620, 51987, 54770, 57539, 60284, 62965, 64300, 66943, 70938, 72305, 73680, 76441, 77819, 79207, 81971, 88860, 91426, 91585, 92949, 94300, 96955, 98274, 100922, 103611, 104971, 106352, 107745, 110518, 114654, 117407, 120165, 121550, 122918, 124294, 125654, 127030, 129768, 133868, 136598, 137955, 139322, 140667, 142041, 147511]",0.4444444444444444,0.5555555555555556,0.8714285714285714
14,5d8f0871-80a6-4f1f-b1b8-2851d8597545,5,Ritorno,A,1,X,S,2,"[1556, 2000, 3432, 4406, 5824, 6261, 8582, 11275, 16224, 16607, 17346, 17701, 19471, 20504, 21544, 23984, 24684, 27899, 28286, 32354, 33475, 36915, 37304, 38101, 41669, 42893, 43271, 46729, 47144, 48498, 49450, 50853, 52241, 53629, 54975, 55423, 56386, 59108, 59534, 63112, 63506, 68402, 68836, 71568, 72528, 72952, 74348, 76675, 78486, 79872, 82194, 83587, 84001, 85392, 86303, 91784, 92182, 93125, 94434, 94857, 97056, 98809, 100131, 102859, 108409, 110733, 112109, 112533, 113939, 114868, 119423, 121760, 123121, 125875, 127222, 127659, 129027, 129954, 132683, 134478, 135565, 139517, 141287, 143585, 144022]",0.4444444444444444,0.3333333333333333,0.9176470588235294
15,5d8f0871-80a6-4f1f-b1b8-2851d8597545,5,Ritorno,A,1,X,S,3,"[2872, 2998, 3191, 3977, 4550, 6330, 14052, 16384, 17363, 18472, 20992, 21067, 21167, 21400, 25213, 27580, 27677, 30071, 34743, 38273, 42914, 44738, 44961, 48096, 49280, 50078, 52090, 52541, 57438, 59251, 65058, 67285, 68979, 71180, 74762, 76750, 84006, 84533, 86925, 88230, 91186, 91261, 93111, 98811, 99309, 101312, 105021, 106939, 112535, 113477, 118045, 118489, 120179, 121768, 122215, 124915, 127710, 128753, 128936, 128999, 131277, 134050, 135522, 137978, 138538, 139241, 143754]",0.8888888888888888,0.6666666666666666,0.7910447761194029
16,30287e4b-f795-4de1-9274-2e57b8035656,5,Ritorno,A,1,Y,N,0,"[4715, 5039, 10227, 18898, 21064, 21121, 25165, 31141, 35658, 37297, 43225, 43720, 47953, 54419, 63058, 63178, 67562, 67630, 71184, 72233, 82077, 84630, 88405, 91438, 91529, 101480, 105039, 105142, 111140, 118579, 118735, 133824, 135651, 137877, 139448]",0.7777777777777778,0.7777777777777778,0.6
17,30287e4b-f795-4de1-9274-2e57b8035656,5,Ritorno,A,1,Y,N,1,"[3453, 4077, 6902, 12453, 16327, 17552, 18715, 21928, 27164, 28245, 30403, 31506, 32614, 34834, 35416, 37117, 41792, 42984, 44186, 45417, 49269, 57561, 58531, 58933, 63108, 63302, 64331, 66946, 68265, 70955, 72317, 76475, 77442, 77847, 79232, 81969, 83372, 85720, 88390, 92957, 94307, 94770, 96960, 100923, 104989, 105180, 106382, 107756, 110506, 117391, 121562, 122917, 127045, 128418, 135241, 137840, 137957, 138108, 139360, 140699, 142059, 143423, 145630, 147517]",0.4444444444444444,0.5555555555555556,0.859375
18,30287e4b-f795-4de1-9274-2e57b8035656,5,Ritorno,A,1,Y,N,2,"[1561, 3973, 4388, 6343, 7199, 8578, 11279, 13845, 15056, 16589, 17674, 18752, 20831, 21541, 23631, 24693, 27897, 28269, 30124, 31235, 32354, 34958, 36597, 36649, 36939, 42900, 46733, 50866, 51120, 53615, 54371, 54995, 57746, 60454, 63509, 67352, 67416, 68404, 73910, 76675, 79428, 81986, 82193, 86258, 86329, 88323, 91779, 93115, 94436, 95757, 97063, 99717, 103814, 105211, 107969, 110733, 112125, 113828, 115266, 115320, 118502, 119011, 121748, 123124, 125864, 127231, 129048, 129150, 129955, 132685, 135559, 136782, 138582, 140877, 143605, 144951]",0.4444444444444444,0.6666666666666666,0.868421052631579
19,30287e4b-f795-4de1-9274-2e57b8035656,5,Ritorno,A,1,Y,N,3,"[1702, 1925, 2284, 3878, 4011, 4545, 5928, 7566, 11026, 11539, 16342, 16775, 19499, 20937, 21073, 22836, 22929, 23953, 26774, 27333, 30090, 34319, 34752, 36376, 39852, 43117, 44988, 54340, 55105, 56728, 57356, 62572, 62660, 63141, 63292, 65165, 65296, 67269, 67371, 67499, 72193, 79237, 80292, 85795, 88282, 91277, 91533, 94181, 96708, 98699, 100677, 100860, 101325, 105095, 105496, 105565, 107768, 108317, 110323, 112461, 113089, 115227, 117094, 117227, 118497, 119984, 120178, 124471, 127570, 135523, 137988, 138264, 139266, 143737, 143928]",0.5555555555555556,0.6666666666666666,0.8533333333333334
20,30287e4b-f795-4de1-9274-2e57b8035656,5,Ritorno,A,1,Y,S,0,"[4700, 4960, 5062, 5287, 10208, 18886, 25071, 25163, 30964, 35670, 37268, 50592, 51134, 54410, 63077, 63147, 67569, 69514, 71198, 72185, 72266, 80291, 88418, 91445, 105158, 111170, 118579, 118705, 120249, 122284, 127278, 129230, 132094, 135656, 139428]",0.5555555555555556,0.8888888888888888,0.6285714285714286
21,30287e4b-f795-4de1-9274-2e57b8035656,5,Ritorno,A,1,Y,S,1,"[3301, 3566, 5462, 12450, 15095, 16321, 17539, 23701, 24002, 24822, 28988, 30830, 34182, 34853, 35414, 37115, 37493, 41766, 42948, 45404, 49243, 49382, 50564, 54740, 57549, 59377, 63299, 63826, 66922, 67468, 67757, 70928, 72295, 76436, 77823, 80574, 81952, 85723, 86130, 88396, 92932, 96942, 97112, 100934, 103635, 105127, 110522, 117394, 120166, 122906, 123382, 125269, 127012, 135239, 137851, 137938, 142026]",0.5555555555555556,0.5555555555555556,0.8245614035087719
22,30287e4b-f795-4de1-9274-2e57b8035656,5,Ritorno,A,1,Y,S,2,"[1552, 1683, 4408, 5772, 5820, 6270, 7640, 8589, 9014, 10364, 11281, 11691, 16599, 17676, 19799, 20835, 21871, 23980, 24275, 26112, 27767, 28279, 30103, 34989, 36563, 36614, 40471, 42063, 42905, 43962, 44565, 48504, 50651, 50869, 51054, 51291, 52673, 54370, 55018, 56831, 58185, 59532, 62192, 66146, 67363, 67493, 68834, 71154, 71590, 72959, 76680, 77105, 79438, 79879, 82210, 84003, 85391, 86339, 88332, 89498, 92186, 93529, 95751, 96170, 97060, 97489, 98806, 99701, 101489, 102876, 105115, 107019, 112115, 112543, 115295, 118078, 118501, 119005, 121765, 123131, 124919, 125878, 126299, 127659, 129024, 129964, 131759, 132690, 135429, 136793, 137217, 139522, 139933, 141297, 143601, 144030, 146340]",0.7777777777777778,0.6666666666666666,0.865979381443299
23,30287e4b-f795-4de1-9274-2e57b8035656,5,Ritorno,A,1,Y,S,3,"[3961, 7578, 9984, 14025, 14566, 17128, 18486, 19512, 20932, 21087, 21154, 23173, 23956, 26792, 27584, 30067, 30122, 33088, 34740, 36369, 41342, 44974, 45447, 47202, 47594, 47814, 50483, 54103, 54330, 55129, 57823, 58095, 59250, 63118, 63329, 65323, 67370, 67520, 70774, 71055, 72178, 79061, 81999, 84527, 84881, 87479, 88293, 90027, 91270, 91529, 94160, 96640, 96801, 97374, 101183, 101308, 102935, 105079, 108296, 110350, 111084, 112445, 112498, 113116, 117244, 118497, 118625, 119992, 120178, 123599, 124960, 129482, 131787, 134373, 135525, 137844, 139255, 141996, 143943]",0.7777777777777778,0.6666666666666666,0.8354430379746836
24,201abd15-2c3b-4ccb-8352-b41c05108771,5,Ritorno,A,2,Y,N,0,"[4706, 5575, 20859, 21045, 24554, 36467, 40259, 52517, 55520, 55728, 59211, 67680, 67831, 72392, 76415, 76462, 80956, 85079, 86781, 93331, 96179, 100644, 106358, 110208, 113478, 115712, 117206, 117315, 123125, 132160, 136932, 139596]",0.625,0.75,0.65625
25,201abd15-2c3b-4ccb-8352-b41c05108771,5,Ritorno,A,2,Y,N,1,"[3315, 3588, 4057, 9733, 14084, 15455, 16773, 19392, 20739, 22131, 27578, 29393, 32109, 33373, 37433, 40057, 40128, 40356, 44277, 46061, 47391, 48664, 53634, 54042, 55485, 55877, 56955, 57979, 61221, 63853, 68708, 69097, 72433, 74835, 76253, 77639, 78988, 81534, 84137, 88292, 93352, 99192, 101792, 105598, 106016, 110271, 111645, 115515, 119397, 121730, 122118, 126394, 127776, 131812, 133073, 138009, 139288, 141942, 147509, 148869]",0.375,0.625,0.8666666666666667
